MQ135,MQ2,MQ4,MQ7,Temperature,Humidity,class
7.19,5.51,12.44,7.39,32.8,49.9,2
7.1,5.21,12.34,7.45,32.8,50.2,2
6.93,5.21,12.29,7.54,32.8,53.7,2
6.87,5.23,11.95,7.6,32.8,54.1,2
6.87,5.16,12.24,7.63,32.8,55.3,2
6.82,4.22,8.8,7.6,32.8,55.6,2
6.76,4.56,9.83,7.48,32.8,56.9,2
6.71,5.01,10.81,7.57,32.8,57.4,2
6.76,5.48,10.85,7.66,32.8,57.2,2
6.74,5.32,11.9,7.57,32.8,52.4,2
6.68,5.32,11.47,7.69,32.8,54.9,2
6.68,5.05,11.29,7.69,32.8,55.2,2
6.6,5.1,11.61,7.66,32.8,56.7,2
6.63,5.07,11.2,7.57,32.8,56.7,2
6.63,4.5,10.85,7.3,32.8,56.9,2
6.55,4.77,10.76,7.24,32.8,57.4,2
6.52,4.85,10.98,7.45,32.9,57.1,2
6.49,4.9,9.83,7.51,32.9,57.9,2
6.55,4.73,10.22,7.3,32.8,57.3,2
6.52,4.85,10.43,7.54,32.9,58.3,2
6.63,4.94,10.76,7.51,32.9,58,2
6.55,4.38,9.71,7.45,32.9,57.1,2
6.57,4.79,10.72,7.6,32.9,57.7,2
6.52,4.92,10.94,7.54,32.9,57.4,2
6.57,5.03,11.61,7.3,32.9,56.9,2
6.55,4.46,10.98,7.45,32.9,57.8,2
6.52,4.58,10.68,7.39,32.9,57.5,2
6.41,4.81,10.51,7.48,32.9,58.1,2
6.44,4.88,10.14,7.24,32.9,57.7,2
6.47,4.77,10.38,7.36,32.9,56.4,2
6.36,4.99,9.75,7.39,32.9,58.5,2
6.39,4.27,9.41,7.16,32.9,56.7,2
6.44,4.64,9.6,7.27,32.9,57.6,2
6.36,4.83,9.9,7.13,32.9,57.1,2
6.44,4.88,10.76,7.16,32.9,57.6,2
6.39,4.5,10.38,7.24,32.9,58.8,2
6.41,4.48,9.75,7.1,32.9,56.8,2
6.47,4.66,10.51,7.16,32.9,58.8,2
6.41,4.75,10.43,6.23,32.9,58.9,2
6.36,4.68,10.43,6.1,32.9,58.9,2
6.28,4.38,9.63,6.1,32.9,60,2
6.31,3.98,8.91,5.98,32.9,57.9,2
6.28,4.18,8.63,6.08,32.9,58.6,2
6.26,4.33,9.15,6.13,32.9,58.2,2
6.31,4.4,9.12,6.18,32.9,57.9,2
6.33,4.46,9.98,6.36,32.9,58.3,2
6.36,4.18,9.9,6.13,32.9,57.7,2
6.36,4.12,8.73,6.96,32.9,59.6,2
6.39,4.1,10.59,6.08,32.9,58.8,2
6.33,4.27,9.6,5.98,33,58.2,2
6.31,4.54,10.18,6.05,32.9,59,2
6.31,4.44,9.56,6.13,33,60,2
6.33,4.27,9.08,6,32.9,59.6,2
6.33,4.29,9.26,6.18,33,55.7,2
6.33,4.48,10.18,5.95,33,57.3,2
6.31,4.38,10.47,6.05,32.9,57.3,2
6.44,4.18,10.81,6,33,58.6,2
6.41,3.47,10.14,6,33,57.9,2
6.41,3.78,10.14,6.1,33,58.6,2
6.31,3.93,10.22,6.1,33,59.5,2
6.31,4,9.9,6.05,33,59.9,2
6.23,3.93,9.45,6.85,33,61.2,2
6.18,3.4,8.94,6.23,33,61.5,2
